output_file,source_file,asset_id,chosen_sprite,chosen_name,reference_count,all_references
180__kind_of_chess_piece_white4__mann-w__822b21b5d1ec73eb99506ef286b1f476.svg,822b21b5d1ec73eb99506ef286b1f476.svg,822b21b5d1ec73eb99506ef286b1f476,kind of chess piece white4,mann-w,2,kind of chess piece white4:79:mann-w | kind of chess piece2:14:Chess_Mlt45
181__kind_of_chess_piece_white4__pb__55e21e8a8e8dce73b2c4859b5eee5fc0.svg,55e21e8a8e8dce73b2c4859b5eee5fc0.svg,55e21e8a8e8dce73b2c4859b5eee5fc0,kind of chess piece white4,pb,3,kind of chess piece white4:73:pb | chess pieces:6:pb | 2:6:pb
182__kind_of_chess_piece_white4__png-transparent-computer-icons-crown-crown-svg-free-black-crown-image-file-forma__e2433e381c20cdd79748ef13c1d9cee8.svg,e2433e381c20cdd79748ef13c1d9cee8.svg,e2433e381c20cdd79748ef13c1d9cee8,kind of chess piece white4,png-transparent-computer-icons-crown-crown-svg-free-black-crown-image-file-formats-king-black (1) (2)3,3,kind of chess piece white4:72:png-transparent-computer-icons-crown-crown-svg-free-black-crown-image-file-formats-king-black (1) (2)3 | chess pieces:34:png-transparent-computer-icons-crown-crown-svg-free-black-crown-image-file-formats-king-black (1) (2) | 2:34:png-transparent-computer-icons-crown-crown-svg-free-black-crown-image-file-formats-king-black (1) (2)
183__kind_of_chess_piece_white4__priest__fdcbed0f6b1bc4fbc8933979f06cf3fa.svg,fdcbed0f6b1bc4fbc8933979f06cf3fa.svg,fdcbed0f6b1bc4fbc8933979f06cf3fa,kind of chess piece white4,priest,2,kind of chess piece white4:67:priest | 스프라이트 2:30:priest
184__kind_of_chess_piece_white4__priest2__f9f50ae5b380bc5d77d6daf1c01b7540.svg,f9f50ae5b380bc5d77d6daf1c01b7540.svg,f9f50ae5b380bc5d77d6daf1c01b7540,kind of chess piece white4,priest2,1,kind of chess piece white4:68:priest2
185__kind_of_chess_piece_white4__qb__2531fa53d0ee43f357ceef8e255ca58e.svg,2531fa53d0ee43f357ceef8e255ca58e.svg,2531fa53d0ee43f357ceef8e255ca58e,kind of chess piece white4,qb,2,kind of chess piece white4:66:qb | kind of chess piece black:10:qb
186__kind_of_chess_piece_white4__qb2__3a673554a255620b6102580c827276b6.svg,3a673554a255620b6102580c827276b6.svg,3a673554a255620b6102580c827276b6,kind of chess piece white4,qb2,3,kind of chess piece white4:78:qb2 | chess pieces:1:qb | 2:1:qb
187__kind_of_chess_piece_white4__qw__3b7433e5642f779da9778202a8c05d91.svg,3b7433e5642f779da9778202a8c05d91.svg,3b7433e5642f779da9778202a8c05d91,kind of chess piece white4,qw,5,kind of chess piece white4:81:qw | chess pieces:7:qw | kind of chess piece2:1:1 | 2:7:qw | 스프라이트 2:4:qw
188__kind_of_chess_piece_white4__rb__00dc245c7f1c43ed6b240f50458f2858.svg,00dc245c7f1c43ed6b240f50458f2858.svg,00dc245c7f1c43ed6b240f50458f2858,kind of chess piece white4,rb,4,kind of chess piece white4:74:rb | chess pieces:5:rb | kind of chess piece black:8:rook black | 2:5:rb
189__kind_of_chess_piece_white4__skull__ca486499eb69bb7c57decdb96d37cdea.svg,ca486499eb69bb7c57decdb96d37cdea.svg,ca486499eb69bb7c57decdb96d37cdea,kind of chess piece white4,skull,2,kind of chess piece white4:95:skull | 스프라이트 2:39:skull
190__kind_of_chess_piece_white4__Snowflake_0__a9812f9162b503dfeebd40c516f196cd.svg,a9812f9162b503dfeebd40c516f196cd.svg,a9812f9162b503dfeebd40c516f196cd,kind of chess piece white4,Snowflake_0,1,kind of chess piece white4:144:Snowflake_0
191__kind_of_chess_piece_white4__Snowflake_0_1_1__4b084c389a8d8fa33e829fc809fa3f35.svg,4b084c389a8d8fa33e829fc809fa3f35.svg,4b084c389a8d8fa33e829fc809fa3f35,kind of chess piece white4,Snowflake_0 (1) (1),1,kind of chess piece white4:145:Snowflake_0 (1) (1)
192__kind_of_chess_piece_white4__tem_white__11520fcdb4140f9aa0407823fc4cd8cc.svg,11520fcdb4140f9aa0407823fc4cd8cc.svg,11520fcdb4140f9aa0407823fc4cd8cc,kind of chess piece white4,tem white,5,kind of chess piece white4:59:tem white | chess pieces:35:tem white | kind of chess piece2:12:12 | 2:35:tem white | 스프라이트 2:28:tem white
193__kind_of_chess_piece_white4__tempest-queen-b__feed7719efab39e1424fa64b3bb98fd6.svg,feed7719efab39e1424fa64b3bb98fd6.svg,feed7719efab39e1424fa64b3bb98fd6,kind of chess piece white4,tempest-queen-b,1,kind of chess piece white4:51:tempest-queen-b
194__kind_of_chess_piece_white4__tempest-queen-w__ff4ecbc87efdda218797cb5e713d055e.svg,ff4ecbc87efdda218797cb5e713d055e.svg,ff4ecbc87efdda218797cb5e713d055e,kind of chess piece white4,tempest-queen-w,2,kind of chess piece white4:50:tempest-queen-w | 스프라이트 2:25:tempest-queen-w
195__kind_of_chess_piece_white4__temple__4d02008104d22eb9f9110f4de7864256.svg,4d02008104d22eb9f9110f4de7864256.svg,4d02008104d22eb9f9110f4de7864256,kind of chess piece white4,temple,3,kind of chess piece white4:42:temple | chess pieces:24:temple | 2:24:temple
196__kind_of_chess_piece_white4__toilet__83b1393dff99ad2f8f458a5297e0915c.svg,83b1393dff99ad2f8f458a5297e0915c.svg,83b1393dff99ad2f8f458a5297e0915c,kind of chess piece white4,toilet,1,kind of chess piece white4:45:toilet
197__kind_of_chess_piece_white4__triskelion__3f30a522a656bbe8148f3f3da87019f3.svg,3f30a522a656bbe8148f3f3da87019f3.svg,3f30a522a656bbe8148f3f3da87019f3,kind of chess piece white4,triskelion,1,kind of chess piece white4:127:triskelion
198__kind_of_chess_piece_white4__triskelion2__c20a9c8d8998292039cbb59a0820a728.svg,c20a9c8d8998292039cbb59a0820a728.svg,c20a9c8d8998292039cbb59a0820a728,kind of chess piece white4,triskelion2,1,kind of chess piece white4:128:triskelion2
199__kind_of_chess_piece_white4__unicorn-b__d6800acf5eab45c6db3d0bb1e44f4e48.svg,d6800acf5eab45c6db3d0bb1e44f4e48.svg,d6800acf5eab45c6db3d0bb1e44f4e48,kind of chess piece white4,unicorn-b,1,kind of chess piece white4:26:unicorn-b
200__kind_of_chess_piece_white4__unicorn-w__93abb65b09760e6c383be5383872fd34.svg,93abb65b09760e6c383be5383872fd34.svg,93abb65b09760e6c383be5383872fd34,kind of chess piece white4,unicorn-w,3,kind of chess piece white4:25:unicorn-w | kind of chess piece2:16:Chess_Ult45 | 스프라이트 2:16:unicorn-w
201__kind_of_chess_piece_white4__wasp-b__1f78c295e6b3878e6c5667ca5f754548.svg,1f78c295e6b3878e6c5667ca5f754548.svg,1f78c295e6b3878e6c5667ca5f754548,kind of chess piece white4,wasp-b,1,kind of chess piece white4:12:wasp-b
202__kind_of_chess_piece_white4__wasp-w__6e3f1b1e3322905953ad2ab5f7232154.svg,6e3f1b1e3322905953ad2ab5f7232154.svg,6e3f1b1e3322905953ad2ab5f7232154,kind of chess piece white4,wasp-w,2,kind of chess piece white4:11:wasp-w | 스프라이트 2:2:wasp-w
203__kind_of_chess_piece_white4__wbishopb__f8200bd25fa17c2019a82be366613695.svg,f8200bd25fa17c2019a82be366613695.svg,f8200bd25fa17c2019a82be366613695,kind of chess piece white4,wbishopb,1,kind of chess piece white4:157:wbishopb
204__kind_of_chess_piece_white4__wbishopw__5fd2f471b0bd2d0b03d7bad7a2f5c367.svg,5fd2f471b0bd2d0b03d7bad7a2f5c367.svg,5fd2f471b0bd2d0b03d7bad7a2f5c367,kind of chess piece white4,wbishopw,1,kind of chess piece white4:158:wbishopw
205__kind_of_chess_piece_white4__windmill2__782aa693fc4b70b750eda577d34a1ce8.svg,782aa693fc4b70b750eda577d34a1ce8.svg,782aa693fc4b70b750eda577d34a1ce8,kind of chess piece white4,windmill2,4,kind of chess piece white4:71:windmill2 | chess pieces:33:windmill2 | 2:33:windmill2 | 스프라이트 2:31:windmill2
206__kind_of_chess_piece_white4__windmill3__bf5b681d641bbbc991b8befa7ba6c880.svg,bf5b681d641bbbc991b8befa7ba6c880.svg,bf5b681d641bbbc991b8befa7ba6c880,kind of chess piece white4,windmill3,3,kind of chess piece white4:70:windmill3 | chess pieces:32:windmill3 | 2:32:windmill3
207__kind_of_chess_piece_white4__windmill4__d1491dc6e687e61130722e10f12ededd.svg,d1491dc6e687e61130722e10f12ededd.svg,d1491dc6e687e61130722e10f12ededd,kind of chess piece white4,windmill4,1,kind of chess piece white4:152:windmill4
208__kind_of_chess_piece_white4__windmill5__c23cbde31020ef064c81d92615ca624e.svg,c23cbde31020ef064c81d92615ca624e.svg,c23cbde31020ef064c81d92615ca624e,kind of chess piece white4,windmill5,1,kind of chess piece white4:153:windmill5
209__kind_of_chess_piece_white4__wkingb_1__58e341947334f0def1360ce6f271381b.svg,58e341947334f0def1360ce6f271381b.svg,58e341947334f0def1360ce6f271381b,kind of chess piece white4,wkingb (1),1,kind of chess piece white4:161:wkingb (1)
210__kind_of_chess_piece_white4__wkingw_1__230ce838bcdccd9023a64c940957dfde.svg,230ce838bcdccd9023a64c940957dfde.svg,230ce838bcdccd9023a64c940957dfde,kind of chess piece white4,wkingw (1),1,kind of chess piece white4:162:wkingw (1)
211__kind_of_chess_piece_white4__wqueenb__444c467092b75c0c4bbab40f05fae8fb.svg,444c467092b75c0c4bbab40f05fae8fb.svg,444c467092b75c0c4bbab40f05fae8fb,kind of chess piece white4,wqueenb,1,kind of chess piece white4:160:wqueenb
212__kind_of_chess_piece_white4__wqueenw__01fd388c3c1db71c285d5bbe3512394a.svg,01fd388c3c1db71c285d5bbe3512394a.svg,01fd388c3c1db71c285d5bbe3512394a,kind of chess piece white4,wqueenw,1,kind of chess piece white4:159:wqueenw
213__kind_of_chess_piece_white4__zebra-b__d5e9ef2ad33b10a3cbfe51e343661072.svg,d5e9ef2ad33b10a3cbfe51e343661072.svg,d5e9ef2ad33b10a3cbfe51e343661072,kind of chess piece white4,zebra-b,1,kind of chess piece white4:84:zebra-b
214__kind_of_chess_piece_white4__zebra-w__d882600737f2911e80fd088e4d4dae71.svg,d882600737f2911e80fd088e4d4dae71.svg,d882600737f2911e80fd088e4d4dae71,kind of chess piece white4,zebra-w,2,kind of chess piece white4:24:zebra-w | 스프라이트 2:15:zebra-w
215__kind_of_chess_piece_white4__1__bfdeafed1a71ab89fdb5b82d4a9c4fb0.svg,bfdeafed1a71ab89fdb5b82d4a9c4fb0.svg,bfdeafed1a71ab89fdb5b82d4a9c4fb0,kind of chess piece white4,모양 1,3,kind of chess piece white4:92:모양 1 | chess pieces:47:모양 1 | 스프라이트 2:35:모양 2
216__kind_of_chess_piece_white4__1_12__2cd965e981fbae9f1d35830fe30a2e9c.svg,2cd965e981fbae9f1d35830fe30a2e9c.svg,2cd965e981fbae9f1d35830fe30a2e9c,kind of chess piece white4,모양 1 (12),2,kind of chess piece white4:124:모양 1 (12) | 스프라이트 2:45:모양 1 (12)
217__kind_of_chess_piece2__11__e5802473e4a8837ae124ea9df0c2f72e.svg,e5802473e4a8837ae124ea9df0c2f72e.svg,e5802473e4a8837ae124ea9df0c2f72e,kind of chess piece2,11,1,kind of chess piece2:11:11
218__kind_of_chess_piece2__4__e67655bc8e7ab083c5af86cb644f1dc6.svg,e67655bc8e7ab083c5af86cb644f1dc6.svg,e67655bc8e7ab083c5af86cb644f1dc6,kind of chess piece2,4,2,kind of chess piece2:4:4 | 2:10:4
219__kind_of_chess_piece2__7__47453e4247f82ec9c09d976d5efd3834.svg,47453e4247f82ec9c09d976d5efd3834.svg,47453e4247f82ec9c09d976d5efd3834,kind of chess piece2,7,1,kind of chess piece2:7:7
220__kind_of_chess_piece2__8__5f5e2b0bc9800d4fae6149ddbdd8e582.svg,5f5e2b0bc9800d4fae6149ddbdd8e582.svg,5f5e2b0bc9800d4fae6149ddbdd8e582,kind of chess piece2,8,1,kind of chess piece2:8:8
221__kind_of_chess_piece2__Chess_Alt45_1__0af754af370ad235e072141c5b5d3f32.svg,0af754af370ad235e072141c5b5d3f32.svg,0af754af370ad235e072141c5b5d3f32,kind of chess piece2,Chess_Alt45 (1),1,kind of chess piece2:21:Chess_Alt45 (1)
222__kind_of_chess_piece2__Chess_Clt45__ec024a84edf062ec634d61b932fa8678.svg,ec024a84edf062ec634d61b932fa8678.svg,ec024a84edf062ec634d61b932fa8678,kind of chess piece2,Chess_Clt45,1,kind of chess piece2:13:Chess_Clt45
223__kind_of_chess_piece2__Chess_Dlt45__00fc73f29e19f68e4825727b0f27db76.svg,00fc73f29e19f68e4825727b0f27db76.svg,00fc73f29e19f68e4825727b0f27db76,kind of chess piece2,Chess_Dlt45,1,kind of chess piece2:20:Chess_Dlt45
224__kind_of_chess_piece2__Chess_slt45__7b84ec1a7546de4460924f037aa5c40a.svg,7b84ec1a7546de4460924f037aa5c40a.svg,7b84ec1a7546de4460924f037aa5c40a,kind of chess piece2,Chess_slt45,1,kind of chess piece2:19:Chess_slt45
225__kind_of_chess_piece2__Chess_wlt45__853394beb92c1b6916c2e7a34452b979.svg,853394beb92c1b6916c2e7a34452b979.svg,853394beb92c1b6916c2e7a34452b979,kind of chess piece2,Chess_wlt45,1,kind of chess piece2:25:Chess_wlt45
226__kind_of_chess_piece2__Chess_Zlt45__4c9222c3804c85250ed6be43a790d09e.svg,4c9222c3804c85250ed6be43a790d09e.svg,4c9222c3804c85250ed6be43a790d09e,kind of chess piece2,Chess_Zlt45,1,kind of chess piece2:15:Chess_Zlt45
227__kind_of_chess_piece2__Chess_zlt45_1__261cfd13de7ee79d44e1b2e852b29f3a.svg,261cfd13de7ee79d44e1b2e852b29f3a.svg,261cfd13de7ee79d44e1b2e852b29f3a,kind of chess piece2,Chess_zlt45 (1),1,kind of chess piece2:26:Chess_zlt45 (1)
228__movement__barrier__d5a95ef23bdebe6c2a6b684ac525578a.svg,d5a95ef23bdebe6c2a6b684ac525578a.svg,d5a95ef23bdebe6c2a6b684ac525578a,movement,barrier,1,movement:4:barrier
229__movement__catch__a66d78276b423247fca5072a64d698b8.svg,a66d78276b423247fca5072a64d698b8.svg,a66d78276b423247fca5072a64d698b8,movement,catch,1,movement:7:catch
230__movement__hold__39c79e01146dfe83dfee04169c873879.svg,39c79e01146dfe83dfee04169c873879.svg,39c79e01146dfe83dfee04169c873879,movement,hold,1,movement:9:hold
231__movement__jump__452a21b22256c99b6227ea2bdf478726.svg,452a21b22256c99b6227ea2bdf478726.svg,452a21b22256c99b6227ea2bdf478726,movement,jump,1,movement:8:jump
232__movement__move__adcdd2851305181a857a31022bfa0c72.svg,adcdd2851305181a857a31022bfa0c72.svg,adcdd2851305181a857a31022bfa0c72,movement,move,1,movement:3:move
233__movement__move_take__eea5291030ae67602d46e1c76092195a.svg,eea5291030ae67602d46e1c76092195a.svg,eea5291030ae67602d46e1c76092195a,movement,move take,1,movement:1:move take
234__movement__shift__08867f219fbcf8330f4a88957bb780e2.svg,08867f219fbcf8330f4a88957bb780e2.svg,08867f219fbcf8330f4a88957bb780e2,movement,shift,1,movement:10:shift
235__movement__take__315f0a907585e2d15051a3b5270d2ff0.svg,315f0a907585e2d15051a3b5270d2ff0.svg,315f0a907585e2d15051a3b5270d2ff0,movement,take,1,movement:2:take
236__movement__void__cce5c5c065e6de6469b0822af332b4b5.svg,cce5c5c065e6de6469b0822af332b4b5.svg,cce5c5c065e6de6469b0822af332b4b5,movement,void,2,movement:5:void | movement:6:void2
237__movement__void2_1__391e91b182cd28bb60398c375a626d43.svg,391e91b182cd28bb60398c375a626d43.svg,391e91b182cd28bb60398c375a626d43,movement,void2 (1),1,movement:11:void2 (1)
238__wall2__1_6__5f2c6ba1118cca219280eab90d0ddebd.svg,5f2c6ba1118cca219280eab90d0ddebd.svg,5f2c6ba1118cca219280eab90d0ddebd,wall2,모양 1 (6),1,wall2:1:모양 1 (6)
239__1__tail__eee35c3034a2848d0706d3f5d9028613.svg,eee35c3034a2848d0706d3f5d9028613.svg,eee35c3034a2848d0706d3f5d9028613,스프라이트 1,tail,1,스프라이트 1:2:tail
240__1__1__8f55faa95b11807d2bf8cbe84feff7c7.svg,8f55faa95b11807d2bf8cbe84feff7c7.svg,8f55faa95b11807d2bf8cbe84feff7c7,스프라이트 1,모양 1,1,스프라이트 1:1:모양 1
241__2__2474728_2_1__fffedefaa95bf116f608223c3e4b9fef.svg,fffedefaa95bf116f608223c3e4b9fef.svg,fffedefaa95bf116f608223c3e4b9fef,스프라이트 2,2474728 (2) (1),1,스프라이트 2:41:2474728 (2) (1)
242__2__bw3_1__34fad5caf55fe70eb1266712c99960e9.svg,34fad5caf55fe70eb1266712c99960e9.svg,34fad5caf55fe70eb1266712c99960e9,스프라이트 2,bw3 (1),1,스프라이트 2:29:bw3 (1)
