output_file,source_file,asset_id,chosen_sprite,chosen_name,reference_count,all_references
115__kind_of_chess_piece_white4__archbishop-w__ad9b5f634238e83241c9091c4a2fe7ce.svg,ad9b5f634238e83241c9091c4a2fe7ce.svg,ad9b5f634238e83241c9091c4a2fe7ce,kind of chess piece white4,archbishop-w,3,kind of chess piece white4:33:archbishop-w | kind of chess piece2:23:Chess_alt45 | 스프라이트 2:19:archbishop-w
116__kind_of_chess_piece_white4__Ball-e__378111fa7e766a10440b76ca7155c570.svg,378111fa7e766a10440b76ca7155c570.svg,378111fa7e766a10440b76ca7155c570,kind of chess piece white4,Ball-e,1,kind of chess piece white4:149:Ball-e
117__kind_of_chess_piece_white4__bard__0ef2f0cf7b5c590a8553b9ef41990e5e.svg,0ef2f0cf7b5c590a8553b9ef41990e5e.svg,0ef2f0cf7b5c590a8553b9ef41990e5e,kind of chess piece white4,bard,2,kind of chess piece white4:38:bard | 스프라이트 2:22:bard
118__kind_of_chess_piece_white4__bb__8feab435b11811caf040abb0bb8f6db1.svg,8feab435b11811caf040abb0bb8f6db1.svg,8feab435b11811caf040abb0bb8f6db1,kind of chess piece white4,bb,3,kind of chess piece white4:76:bb | chess pieces:3:bb | 2:3:bb
119__kind_of_chess_piece_white4__bishop_white__d9168a9a276ef7f4efc0af76f7d7d17d.svg,d9168a9a276ef7f4efc0af76f7d7d17d.svg,d9168a9a276ef7f4efc0af76f7d7d17d,kind of chess piece white4,bishop white,2,kind of chess piece white4:7:bishop white | 스프라이트 2:6:bishop white
120__kind_of_chess_piece_white4__bishop_white3__bdafad8219bb91c8153d4ac03153fde5.svg,bdafad8219bb91c8153d4ac03153fde5.svg,bdafad8219bb91c8153d4ac03153fde5,kind of chess piece white4,bishop white3,1,kind of chess piece white4:155:bishop white3
121__kind_of_chess_piece_white4__bishop_white4__a40c3c679a707fb14da694a629b9f5cf.svg,a40c3c679a707fb14da694a629b9f5cf.svg,a40c3c679a707fb14da694a629b9f5cf,kind of chess piece white4,bishop white4,1,kind of chess piece white4:3:bishop white4
122__kind_of_chess_piece_white4__black-hole-emoji-1024x1024-btoxw50k_1_1_1_1__eb5191e704f2d22a4370f22c2ee5c9fb.svg,eb5191e704f2d22a4370f22c2ee5c9fb.svg,eb5191e704f2d22a4370f22c2ee5c9fb,kind of chess piece white4,black-hole-emoji-1024x1024-btoxw50k (1) (1) (1) (1),2,kind of chess piece white4:125:black-hole-emoji-1024x1024-btoxw50k (1) (1) (1) (1) | 스프라이트 2:44:black-hole-emoji-1024x1024-btoxw50k (1) (1) (1) (1)
123__kind_of_chess_piece_white4__black-hole-emoji-1024x1024-btoxw50k_1_1_1_1_2__b374aafa9e9f79abb968dff120c797be.svg,b374aafa9e9f79abb968dff120c797be.svg,b374aafa9e9f79abb968dff120c797be,kind of chess piece white4,black-hole-emoji-1024x1024-btoxw50k (1) (1) (1) (1)2,1,kind of chess piece white4:126:black-hole-emoji-1024x1024-btoxw50k (1) (1) (1) (1)2
124__kind_of_chess_piece_white4__boat-b__53cd45e066d0a2730ab84d3c95fc9667.svg,53cd45e066d0a2730ab84d3c95fc9667.svg,53cd45e066d0a2730ab84d3c95fc9667,kind of chess piece white4,boat-b,1,kind of chess piece white4:30:boat-b
125__kind_of_chess_piece_white4__boat-w__9e095a0a2c92e9ac01c881d851b367b0.svg,9e095a0a2c92e9ac01c881d851b367b0.svg,9e095a0a2c92e9ac01c881d851b367b0,kind of chess piece white4,boat-w,2,kind of chess piece white4:29:boat-w | 스프라이트 2:17:boat-w
126__kind_of_chess_piece_white4__bouncing_bishop__9f5dc67f7b91bbcce8a91a0700eb2bf5.svg,9f5dc67f7b91bbcce8a91a0700eb2bf5.svg,9f5dc67f7b91bbcce8a91a0700eb2bf5,kind of chess piece white4,bouncing bishop,4,kind of chess piece white4:48:bouncing bishop | chess pieces:25:bouncing bishop white | 2:25:bouncing bishop white | 스프라이트 2:24:bouncing bishop
127__kind_of_chess_piece_white4__buffalob__d1629e40f0ca5a2acdba4f5bf73a351d.svg,d1629e40f0ca5a2acdba4f5bf73a351d.svg,d1629e40f0ca5a2acdba4f5bf73a351d,kind of chess piece white4,buffalob,1,kind of chess piece white4:166:buffalob
128__kind_of_chess_piece_white4__buffalow__668ab9f21ab12e2076d57df65323801c.svg,668ab9f21ab12e2076d57df65323801c.svg,668ab9f21ab12e2076d57df65323801c,kind of chess piece white4,buffalow,1,kind of chess piece white4:167:buffalow
129__kind_of_chess_piece_white4__bw2__a1647d6e6f0e093557287250cfe38fa9.svg,a1647d6e6f0e093557287250cfe38fa9.svg,a1647d6e6f0e093557287250cfe38fa9,kind of chess piece white4,bw2,1,kind of chess piece white4:61:bw2
130__kind_of_chess_piece_white4__bw2_3_2__3ab011b6f63f49bb00656c5e172372d6.svg,3ab011b6f63f49bb00656c5e172372d6.svg,3ab011b6f63f49bb00656c5e172372d6,kind of chess piece white4,bw2 (3)2,2,kind of chess piece white4:57:bw2 (3)2 | 스프라이트 2:27:bw2 (3)2
131__kind_of_chess_piece_white4__bw3__11da786a630e1d3c67f9e4a9cf59350b.svg,11da786a630e1d3c67f9e4a9cf59350b.svg,11da786a630e1d3c67f9e4a9cf59350b,kind of chess piece white4,bw3,1,kind of chess piece white4:60:bw3
132__kind_of_chess_piece_white4__bw3_1__f725b04a444dafb91980d92adb220b6b.svg,f725b04a444dafb91980d92adb220b6b.svg,f725b04a444dafb91980d92adb220b6b,kind of chess piece white4,bw3 (1),1,kind of chess piece white4:62:bw3 (1)
133__kind_of_chess_piece_white4__bw3_1_2__f2a7b240590b2ca43f76904e412f5f80.svg,f2a7b240590b2ca43f76904e412f5f80.svg,f2a7b240590b2ca43f76904e412f5f80,kind of chess piece white4,bw3 (1)2,1,kind of chess piece white4:154:bw3 (1)2
134__kind_of_chess_piece_white4__camelaon__ac20d2f7df6ab1e627a6607890460ae0.svg,ac20d2f7df6ab1e627a6607890460ae0.svg,ac20d2f7df6ab1e627a6607890460ae0,kind of chess piece white4,camelaon,2,kind of chess piece white4:40:camelaon | 스프라이트 2:23:camelaon
135__kind_of_chess_piece_white4__cantaur-b__eb38d3cc0c45e05d560df6af84f09f80.svg,eb38d3cc0c45e05d560df6af84f09f80.svg,eb38d3cc0c45e05d560df6af84f09f80,kind of chess piece white4,cantaur-b,1,kind of chess piece white4:22:cantaur-b
136__kind_of_chess_piece_white4__cantaur-w__65f9b5dac9b2087a014a744c3ee01dcd.svg,65f9b5dac9b2087a014a744c3ee01dcd.svg,65f9b5dac9b2087a014a744c3ee01dcd,kind of chess piece white4,cantaur-w,2,kind of chess piece white4:21:cantaur-w | 스프라이트 2:13:cantaur-w
137__kind_of_chess_piece_white4__catlew__263148bc455885ab8a8edeb9554f61a0.svg,263148bc455885ab8a8edeb9554f61a0.svg,263148bc455885ab8a8edeb9554f61a0,kind of chess piece white4,catlew,1,kind of chess piece white4:165:catlew
138__kind_of_chess_piece_white4__chancellor-b__4f6a9f3d1aae45a02e59117c64232fc0.svg,4f6a9f3d1aae45a02e59117c64232fc0.svg,4f6a9f3d1aae45a02e59117c64232fc0,kind of chess piece white4,chancellor-b,1,kind of chess piece white4:32:chancellor-b
139__kind_of_chess_piece_white4__chancellor-w__59fed24e8f8b7957f3fdfe9ebdb98777.svg,59fed24e8f8b7957f3fdfe9ebdb98777.svg,59fed24e8f8b7957f3fdfe9ebdb98777,kind of chess piece white4,chancellor-w,3,kind of chess piece white4:31:chancellor-w | kind of chess piece2:22:Chess_clt45 (1) | 스프라이트 2:18:chancellor-w
